call_type_desc,simple_ct
DIST PEACE-CAPP HOUSE,disturbing
DISTURB PEACE/NOISE-COST RECOVERY,disturbing
DISTURBING PEACE,disturbing
DISTURBING PEACE NOISE ONLY,disturbing
DISTURBING PEACE RE: TOWING,disturbing
DISTURBING PEACE W/VIOLENCE,disturbing
LOUD PARTY,disturbing
LOUD PARTY-COST RECOVERY,disturbing
PRESERVE THE PEACE,disturbing
EXTRA PATROL INFO FOR FIELD SGT-ADVISED EVENT,policing
FINISH 1110/FIELD INITIATED,policing
FLAG DOWN/FIELD INITIATED,policing
FOLLOW-UP BY FIELD UNIT,policing
FOOT PATROL/FIELD INITIATED,policing
MOBILE FIELD FORCE ACTIVATION,policing
PED STOP/FIELD INTERVIEW,policing
SLEEPER,homeless
MENTAL CASE,mental
MENTAL CASE-VIOLENT OR URGENT,mental
ABANDONED REFRIGERATOR,other
ADW,other
ADW REPORT,other
ADW-ALL UNITS INFORMATION,other
ADW-COST RECOVERY,other
AIRPLANE CRASH,other
AIRPLANE PROBLEM,other
ALL UNITS FIRE INFO-PRI 1,other
ALL UNITS INFORMATION,other
ALL UNITS INFORMATION-PRI 1,other
ALL UNITS INFORMATION-PRI 2,other
AMBER ALERT INFO,other
AMBULANCE NEEDED,other
ARSON IN PROGRESS,other
ASSIST THE INVALID,other
AU INFO/USED BY DESK OR RADIO,other
BALL GAME IN STREET(83 03MC),other
BIOHAZARD-DESK CALL,other
BORDER/PORT RUNNER A/U,other
CHECK THE AREA,other
CHECK THE WELFARE,other
CHRONIC COMM CALLER CONTROL,other
CITIZEN CONTACT,other
CITIZEN'S COMPLAINT INVESTIGAT,other
CITIZEN'S COMPLAINT SPEC EVENT,other
COMPUTER CRIMES - TRU USE ONLY,other
COURT,other
COVER NOW,other
COVER NOW-COST RECOVERY,other
CRIME CASE NUMBER REQUEST,other
DEMONSTRATION CALLS,other
DESK CALL,other
DESK CALL (SCHOOL),other
DOCKLESS BIKE COMPLAINT,other
EJECTED FROM AN EVENT,other
"EMBEZZLEMENT, REPORT",other
ESCAPE/ESCAPEE,other
EVACUATE CITIZENS,other
FIRE,other
FOUND JUVENILE,other
FOUND PROPERTY,other
FOUND SENILE,other
FRONT COUNTER CLOSURES,other
FURNISH TRANSPORTATION,other
HAZARDOUS CONDITION,other
HAZARDOUS/CHEMICAL SPILL,other
HOMELAND SECURITY CHECKS,other
IN A MEETING/OUT OF SERVICE,other
INCOMPLETE PHONE CALL,other
INJURED PERSON,other
INTERAGAENCY MUTUAL AID,other
INVESTIGATE WATER LEAK,other
JUVENILE SERVICE TEAM HOTLINE,other
LIAISON UNITS VISITING MEXICO,other
LITTERING,other
LOST/STOLEN PLATE ,other
MEET OFFICER NON URGENT,other
NO DETAIL ACCIDENT,other
NON URGENT COVER-COST RECOVERY,other
PERSON DOWN,other
PHONE YOUR HOME,other
PHONE YOUR STATION,other
PICK UP EVIDENCE,other
PRT ASSIST,other
REPORT OF LOST PROPERTY/PLATE,other
REQUEST FOR NON URGENT COVER,other
RESCUE CITIZENS,other
ROCK N ROLL 1185,other
ROCK N ROLL CCF,other
ROCK N ROLL MARATHON,other
ROUTE SLIP (FLD INVESTIGATION),other
SCHOOL DETAIL,other
SECURITY CHECK,other
SELECTIVE ENFORCEMENT,other
SERIOUS INJ ACCIDENT-COST RECOVERY,other
SHOPLIFTER/QUICK CITE,other
SIGALERT,other
SKATEBOARDERS,other
SOCIAL HOST-COST RECOVERY,other
SPECIAL DETAIL,other
STAYOUT OF AREA/NO RADIO TRANS,other
STREET INFORMATION,other
TARASOFF REPORT,other
TERRORISM LIAISON OFFICER,other
"UNK EMER,HANGUP/OPEN,PAYFONE",other
"UNK EMERG, HANG UP/OPEN LINE",other
VICIOUS ANIMAL,other
,other
211 SUSPECT THERE NOW,policing
245 SUSPECT THERE NOW,policing
459 SUSPECT THERE NOW,policing
APPOINTMENT,policing
ARSON REPORT,policing
"BOMB THREAT, DESK CALL",policing
"BOMB THREAT, DESK CALL (SCHOOL)",policing
BOMB/HIJACK THREAT,policing
CAR JACK-ALL UNITS INFORMATION,policing
CAR JACKING,policing
CARJACKING REPORT,policing
CHILD STEALING,policing
CHILD STEALING REPORT,policing
CONSTRUCTION NOISE COMPLAINT,policing
CONTRIBUTING DELINQ MINOR,policing
CORONER'S CASE,policing
CRIMINAL THREATS,policing
CRIMINAL THREATS REPORT,policing
"CRUELTY TO ANIMALS, IN PROGRES",policing
"CRUELTY TO ANIMALS, REPORT",policing
DEFRAUDING INNKEEPER REPORT,policing
"DEFRAUDING INNKEEPER, IN PROGR",policing
DISCHARGING FIREARM SHOT SPOTTER ACTIVATION,policing
EXPLOSION,policing
"EXTORTION, REPORT",policing
FIREWORK HAZARD,policing
FIRING AT OCCP'D HSE/VEH,policing
FIRING AT OCCP'D HSE/VEH 1110,policing
FIRING AT UNOCCPD VEH/HSE 1110,policing
FIRING AT UNOCCUPIED VEH,policing
FOOT PURSUIT,policing
FORGERY IN PROGRESS,policing
FORGERY OF RX-SUSP THERE NOW,policing
FORGERY REPORT,policing
FRAUD SOLICITATION/CHARITIES,policing
GAMBLING,policing
GPS PAROLE VIOLATION,policing
HATE CRIME INVESTIGATION,policing
HATE INCIDENT ALL UNITS INF,policing
ILLEGAL STREET RACING,policing
ILLEGAL USE OF LASER ,policing
IMPERSONATING AN OFFICER,policing
"IMPERSONATING AN OFFICER,RPT",policing
INFORMATION FOR CHP,policing
INFORMATION FOR DISPATCHERS,policing
INFORMATION FOR SHOPS,policing
INTIMIDATION OF WITNESS,policing
KIDNAPPING IN PROGRESS,policing
KIDNAPPING REPORT,policing
MISSING JUV OF TENDER YEARS,policing
MISSING PERSON ALL UNITS INFO,policing
"MISSING PERSON, REPORT EVAL",policing
MISSING SENILE,policing
MURDER-ALL UNITS INFORMATION,policing
PROSTITUTION,policing
RECEIVE/SELL STOLEN PROP,policing
REPORT OF CRIME OCCD MEXICO,policing
"RUNAWAY JUVENILE, REPORT",policing
STAKEOUT,policing
SWAT EMERGENCY RESPONSE,policing
SWAT STAGING,policing
THROWING OBJECTS AT AN OCC VEH,policing
THROWING OBJECTS AT AN OCC VEH REPORT,policing
"TRO VIOLATION, REPORT",policing
"AMBULANCE CALL, OVERDOSE",policing
AUTO THEFT,policing
AUTO THEFT ALL UNITS INFO,policing
BATTERY,policing
BATTERY REPORT,policing
BURGLARY ALARM,policing
BURGLARY CASER,policing
BURGLARY HOT PROWL,policing
BURGLARY IN PROGRESS,policing
BURGLARY REPORT,policing
BURGLARY-GPS DEVICE,policing
CALLING FOR HELP,policing
CALLING FOR HELP-PANIC ALARM,policing
CAR THEFT RECOVERY REPORT,policing
CAR THEFT REPORT,policing
CARRYING CONCEALED WEAPON,policing
DISCHARGING FIREARMS,policing
DISTURBING PEACE UNCONC WEAPON,policing
DRUNK - DRUGS/ALCOHOL,policing
DUI,policing
DUI-ALL UNITS INFORMATION,policing
DUI-COST RECOVERY,policing
EVAL-POSS UNREPORTED CAR THEFT,policing
FALSE USE OF ANOTHERS IDENTITY,policing
GRAFFITI VANDALISM REPORT,policing
GRAND THEFT $950+,policing
GRAND THEFT/REPORT $950+,policing
INDECENT EXPOSURE,policing
INDECENT EXPOSURE REPORT,policing
ISSUE CITATION,policing
NARCOTICS ACTIVITY,policing
PETTY THEFT REPORT/UNDER $950,policing
PETTY THEFT/UNDER $950,policing
PRISONER IN CUSTODY,policing
PROBLEM ORIENTED POLICING,policing
PROWLER,policing
PTU (PRISONER TRANSPORT),policing
REPORT OF DEATH,policing
ROBBERY,policing
ROBBERY ALARM,policing
ROBBERY CASER,policing
ROBBERY REPORT,policing
ROBBERY-ALL UNITS INFORMATION,policing
ROBBERY-GPS DEVICE,policing
"TAGGER VANDALISM, IN PROGRESS",policing
THEFT OF UTILITIES IN PROGRESS,policing
THEFT OF UTILITIES REPORT,policing
"THREATENING PHONE CALL, REPORT",policing
THREATENING W/WEAPON,policing
THREATENING W/WEAPON REPORT,policing
TRESPASSING,policing
"VANDALISM, IN PROGRESS",policing
"VANDALISM, REPORT",policing
VARDA ALARM,policing
VEHICLE ALARM/AUDIBLE,policing
WARRANT,policing
FELONY HIT&RUN,traffic
SERIOUS INJURY ACCIDENT,traffic
STOLEN VEH-LOJACK,traffic
TAXI OR BUS NEEDS HELP,traffic
ASSIST DISABLED MOTORIST,traffic
FELONY HIT/RUN-COST RECOVERY,traffic
HIT AND RUN REPORT,traffic
ILLEGAL OVO PARKING,traffic
ILLEGAL PARKING,traffic
ILLEGAL PARKING-HANDICAPPED,traffic
"INFO ON TRAFFIC,HIT & RUN-ADVISED EVENT",traffic
MINOR INJURY ACCIDENT,traffic
MINOR INJURY ACCIDENT-COST RECOVERY,traffic
"MINOR TRAFFIC INJURY, REPORT",traffic
MISD HIT/RUN,traffic
MISD HIT/RUN-COST RECOVERY,traffic
NON-INJURY ACCIDENT,traffic
NON-INJURY ACCIDENT-COST RECOVERY,traffic
OVERSIZED VEHICLE ORDINANCE,traffic
RECKLESS DRIVING,traffic
RECKLESS DRIVING-ALL UNITS,traffic
REQUEST FOR TOW TRUCK,traffic
RUNAWAY VEHICLE,traffic
SIGNALS OUT OF ORDER,traffic
STOLEN VEHICLE LOG,traffic
TAMPERING W/VEH IN PROGRESS,traffic
TAMPERING W/VEH REPORT,traffic
TRAFFIC CONTROL,traffic
TRAFFIC PURSUIT,traffic
TRAFFIC STOP FROM THE MOBILE COMPUTER,traffic
TRAFFIC STOP WITH PLATE,traffic
TRAFFIC STOP/NO LICENSE,traffic
TRAFFIC STOP/WITH LICENSE,traffic
VEH VIOLATING 72HR PARKING RES,traffic
VEHICLE CASER,traffic
VEHICLES TOWED DUE TO RRM,traffic